Box 0 
0 : 55753
1 : 55741
2 : 55727
3 : 55750
4 : 55741
5 : 55753
6 : 55750
7 : 55716
8 : 55748
9 : 55753
10 : 55716
11 : 55750
12 : 55742
13 : 55742
14 : 55741
15 : 55748
16 : 55765
17 : 55729
18 : 55734
19 : 55734
20 : 55729
21 : 55750
22 : 55749
23 : 55741
24 : 55716
25 : 55784
26 : 55734
27 : 55784
28 : 55742
29 : 55717
30 : 55750
31 : 55750
32 : 55750
33 : 55750
34 : 55717
35 : 55742
36 : 55784
37 : 55734
38 : 55784
39 : 55716
40 : 55741
41 : 55749
42 : 55750
43 : 55729
44 : 55734
45 : 55734
46 : 55729
47 : 55765
48 : 55748
49 : 55741
50 : 55742
51 : 55742
52 : 55750
53 : 55716
54 : 55753
55 : 55748
56 : 55716
57 : 55750
58 : 55753
59 : 55741
60 : 55750
61 : 55727
62 : 55741
63 : 55753
---------------Max Frequency key = 25 ------------------
Box 5 
0 : 55740
1 : 55717
2 : 55781
3 : 55736
4 : 55754
5 : 55781
6 : 55781
7 : 55718
8 : 55740
9 : 55764
10 : 55718
11 : 55755
12 : 55755
13 : 55781
14 : 55718
15 : 55727
16 : 55754
17 : 55737
18 : 55728
19 : 55763
20 : 55740
21 : 55738
22 : 55763
23 : 55717
24 : 55727
25 : 55737
26 : 55738
27 : 55735
28 : 55739
29 : 55763
30 : 60739
31 : 55740
32 : 55740
33 : 60739
34 : 55763
35 : 55739
36 : 55735
37 : 55738
38 : 55737
39 : 55727
40 : 55717
41 : 55763
42 : 55738
43 : 55740
44 : 55763
45 : 55728
46 : 55737
47 : 55754
48 : 55727
49 : 55718
50 : 55781
51 : 55755
52 : 55755
53 : 55718
54 : 55764
55 : 55740
56 : 55718
57 : 55781
58 : 55781
59 : 55754
60 : 55736
61 : 55781
62 : 55717
63 : 55740
---------------Max Frequency key = 30 ------------------
Box 6 
0 : 55747
1 : 60733
2 : 55748
3 : 55758
4 : 55731
5 : 55738
6 : 55731
7 : 55759
8 : 55731
9 : 55761
10 : 55731
11 : 60732
12 : 55765
13 : 55739
14 : 55741
15 : 55731
16 : 55742
17 : 55731
18 : 55733
19 : 55742
20 : 55765
21 : 55733
22 : 55733
23 : 55731
24 : 55766
25 : 60732
26 : 55758
27 : 55741
28 : 55765
29 : 55761
30 : 55758
31 : 55759
32 : 55759
33 : 55758
34 : 55761
35 : 55765
36 : 55741
37 : 55758
38 : 60732
39 : 55766
40 : 55731
41 : 55733
42 : 55733
43 : 55765
44 : 55742
45 : 55733
46 : 55731
47 : 55742
48 : 55731
49 : 55741
50 : 55739
51 : 55765
52 : 60732
53 : 55731
54 : 55761
55 : 55731
56 : 55759
57 : 55731
58 : 55738
59 : 55731
60 : 55758
61 : 55748
62 : 60733
63 : 55747
---------------Max Frequency key = 1 ------------------
Box 7 
0 : 55734
1 : 55777
2 : 55733
3 : 55751
4 : 55758
5 : 55772
6 : 55743
7 : 55743
8 : 55734
9 : 55743
10 : 55735
11 : 55777
12 : 55743
13 : 55746
14 : 55771
15 : 55734
16 : 55743
17 : 55771
18 : 55746
19 : 55710
20 : 55777
21 : 55751
22 : 55751
23 : 55702
24 : 55702
25 : 55747
26 : 55771
27 : 55751
28 : 55758
29 : 55702
30 : 55779
31 : 55779
32 : 55779
33 : 55779
34 : 55702
35 : 55758
36 : 55751
37 : 55771
38 : 55747
39 : 55702
40 : 55702
41 : 55751
42 : 55751
43 : 55777
44 : 55710
45 : 55746
46 : 55771
47 : 55743
48 : 55734
49 : 55771
50 : 55746
51 : 55743
52 : 55777
53 : 55735
54 : 55743
55 : 55734
56 : 55743
57 : 55743
58 : 55772
59 : 55758
60 : 55751
61 : 55733
62 : 55777
63 : 55734
---------------Max Frequency key = 30 ------------------
